Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
TBD,AL,2002,673,918,55,0.314,0.39,0.253,0,,,161,0.357,0.463
TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,,,162,0.355,0.451
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431
ANA,AL,2001,691,730,75,0.327,0.405,0.261,0,,,162,0.331,0.412
ARI,NL,2001,818,677,92,0.341,0.442,0.267,1,5,1,162,0.311,0.404
ATL,NL,2001,729,643,88,0.324,0.412,0.26,1,7,3,162,0.314,0.384
BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439
BOS,AL,2001,772,745,82,0.334,0.439,0.266,0,,,161,0.329,0.393
CHC,NL,2001,777,701,88,0.336,0.43,0.261,0,,,162,0.321,0.398
CHW,AL,2001,798,795,83,0.334,0.451,0.268,0,,,162,0.334,0.427
CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455
CLE,AL,2001,897,821,91,0.35,0.458,0.278,1,6,4,162,0.341,0.417
COL,NL,2001,923,906,73,0.354,0.483,0.292,0,,,162,0.35,0.48
DET,AL,2001,724,876,66,0.32,0.409,0.26,0,,,162,0.357,0.461
FLA,NL,2001,742,744,76,0.326,0.423,0.264,0,,,162,0.338,0.411
HOU,NL,2001,847,769,93,0.347,0.451,0.271,1,4,4,162,0.325,0.437
KCR,AL,2001,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45
LAD,NL,2001,758,744,86,0.323,0.425,0.255,0,,,162,0.323,0.411
MIL,NL,2001,740,806,68,0.319,0.426,0.251,0,,,162,0.35,0.44
MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.437
MON,NL,2001,670,812,68,0.319,0.396,0.253,0,,,162,0.339,0.441
NYM,NL,2001,642,713,82,0.323,0.387,0.249,0,,,162,0.314,0.419
NYY,AL,2001,804,713,95,0.334,0.435,0.267,1,3,2,161,0.318,0.398
OAK,AL,2001,884,645,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38
PHI,NL,2001,746,719,86,0.329,0.414,0.26,0,,,162,0.329,0.424
PIT,NL,2001,657,858,62,0.313,0.393,0.247,0,,,162,0.344,0.433
SDP,NL,2001,789,812,79,0.336,0.399,0.252,0,,,162,0.33,0.45
SEA,AL,2001,927,627,116,0.36,0.445,0.288,1,1,3,162,0.301,0.378
SFG,NL,2001,799,748,90,0.342,0.46,0.266,0,,,162,0.329,0.404
STL,NL,2001,814,684,93,0.339,0.441,0.27,1,4,4,162,0.328,0.428
TBD,AL,2001,672,887,62,0.32,0.388,0.258,0,,,162,0.345,0.452
TEX,AL,2001,890,968,73,0.344,0.471,0.275,0,,,162,0.362,0.494
TOR,AL,2001,767,753,80,0.325,0.43,0.263,0,,,162,0.339,0.435
ANA,AL,2000,864,869,82,0.352,0.472,0.28,0,,,162,0.351,0.453
ARI,NL,2000,792,754,85,0.333,0.429,0.265,0,,,162,0.326,0.424
ATL,NL,2000,810,714,95,0.346,0.429,0.271,1,2,4,162,0.319,0.402
BAL,AL,2000,794,913,74,0.341,0.435,0.272,0,,,162,0.352,0.449
BOS,AL,2000,792,745,85,0.341,0.423,0.267,0,,,162,0.322,0.411
CHC,NL,2000,764,904,65,0.335,0.411,0.256,0,,,162,0.348,0.452
CHW,AL,2000,978,839,95,0.356,0.47,0.286,1,2,4,162,0.346,0.434
CIN,NL,2000,825,765,85,0.343,0.447,0.274,0,,,163,0.341,0.438
CLE,AL,2000,950,816,90,0.367,0.47,0.288,0,,,162,0.35,0.425
COL,NL,2000,968,897,82,0.362,0.455,0.294,0,,,162,0.354,0.471
DET,AL,2000,823,827,79,0.343,0.438,0.275,0,,,162,0.34,0.443
FLA,NL,2000,731,797,79,0.331,0.409,0.262,0,,,161,0.348,0.429
HOU,NL,2000,938,944,72,0.361,0.477,0.278,0,,,162,0.353,0.476
KCR,AL,2000,879,930,77,0.348,0.425,0.288,0,,,162,0.362,0.474
LAD,NL,2000,798,729,86,0.341,0.431,0.257,0,,,162,0.332,0.407
MIL,NL,2000,740,826,73,0.325,0.403,0.246,0,,,163,0.357,0.42
MIN,AL,2000,748,880,69,0.337,0.407,0.27,0,,,162,0.347,0.466
MON,NL,2000,738,902,67,0.326,0.432,0.266,0,,,162,0.353,0.449
NYM,NL,2000,807,738,94,0.346,0.43,0.263,1,3,2,162,0.327,0.403
NYY,AL,2000,871,814,87,0.354,0.45,0.277,1,5,1,161,0.336,0.422
OAK,AL,2000,947,813,91,0.36,0.458,0.27,1,4,4,161,0.348,0.423
PHI,NL,2000,708,830,65,0.329,0.4,0.251,0,,,162,0.343,0.448
PIT,NL,2000,793,888,69,0.339,0.424,0.267,0,,,162,0.361,0.432
SDP,NL,2000,752,815,76,0.33,0.402,0.254,0,,,162,0.34,0.416
SEA,AL,2000,907,780,91,0.361,0.442,0.269,1,4,3,162,0.339,0.416
SFG,NL,2000,925,747,97,0.362,0.472,0.278,1,1,4,162,0.342,0.412
STL,NL,2000,887,771,95,0.356,0.455,0.27,1,2,3,162,0.338,0.434
TBD,AL,2000,733,842,69,0.329,0.399,0.257,0,,,161,0.345,0.451
TEX,AL,2000,848,974,71,0.352,0.446,0.283,0,,,162,0.369,0.475
TOR,AL,2000,861,908,83,0.341,0.469,0.275,0,,,162,0.354,0.456
ANA,AL,1999,711,826,70,0.322,0.395,0.256,0,,,162,0.346,0.427
ARI,NL,1999,908,676,100,0.347,0.459,0.277,1,2,4,162,0.32,0.402
ATL,NL,1999,840,661,103,0.341,0.436,0.266,1,1,2,162,0.314,0.377
BAL,AL,1999,851,815,78,0.353,0.447,0.279,0,,,162,0.35,0.441
BOS,AL,1999,836,718,94,0.35,0.448,0.278,1,6,3,162,0.315,0.398
CHC,NL,1999,747,920,67,0.329,0.42,0.257,0,,,162,0.346,0.467
CHW,AL,1999,777,870,75,0.337,0.429,0.277,0,,,162,0.353,0.447
CIN,NL,1999,865,711,96,0.341,0.451,0.272,0,,,163,0.324,0.411
CLE,AL,1999,1009,860,97,0.373,0.467,0.289,1,4,4,162,0.347,0.439
COL,NL,1999,906,1028,72,0.348,0.472,0.288,0,,,162,0.384,0.499
DET,AL,1999,747,882,69,0.326,0.443,0.261,0,,,161,0.349,0.451
FLA,NL,1999,691,852,64,0.325,0.395,0.263,0,,,162,0.359,0.44
HOU,NL,1999,823,675,97,0.355,0.42,0.267,1,4,4,162,0.326,0.397
KCR,AL,1999,856,921,64,0.348,0.433,0.282,0,,,161,0.365,0.454
LAD,NL,1999,793,787,77,0.339,0.42,0.266,0,,,162,0.336,0.422
MIL,NL,1999,815,886,74,0.353,0.426,0.273,0,,,161,0.356,0.457
MIN,AL,1999,686,845,63,0.328,0.384,0.264,0,,,161,0.342,0.465
MON,NL,1999,718,853,68,0.323,0.427,0.265,0,,,162,0.342,0.418
NYM,NL,1999,853,711,97,0.363,0.434,0.279,1,4,3,163,0.331,0.418
NYY,AL,1999,900,731,98,0.366,0.453,0.282,1,3,1,162,0.329,0.4
OAK,AL,1999,893,846,87,0.355,0.446,0.259,0,,,162,0.344,0.428
PHI,NL,1999,841,846,77,0.351,0.431,0.275,0,,,162,0.347,0.447
PIT,NL,1999,775,782,78,0.334,0.419,0.259,0,,,161,0.343,0.42
SDP,NL,1999,710,781,74,0.332,0.393,0.252,0,,,162,0.333,0.43
SEA,AL,1999,859,905,79,0.343,0.455,0.269,0,,,162,0.368,0.454
SFG,NL,1999,872,831,86,0.356,0.434,0.271,0,,,162,0.345,0.423
STL,NL,1999,809,838,75,0.338,0.426,0.262,0,,,161,0.355,0.427
TBD,AL,1999,772,913,69,0.343,0.411,0.274,0,,,162,0.371,0.448
TEX,AL,1999,945,859,95,0.361,0.479,0.293,1,5,4,162,0.346,0.459
TOR,AL,1999,883,862,84,0.352,0.457,0.28,0,,,162,0.353,0.456
ANA,AL,1998,787,783,85,0.335,0.415,0.272,0,,,162,,
ARI,NL,1998,665,812,65,0.314,0.393,0.246,0,,,162,,
ATL,NL,1998,826,581,106,0.342,0.453,0.272,1,2,3,162,,
BAL,AL,1998,817,785,79,0.347,0.447,0.273,0,,,162,,
BOS,AL,1998,876,729,92,0.348,0.463,0.28,1,5,4,162,,
CHC,NL,1998,831,792,90,0.337,0.433,0.264,1,6,4,163,,
CHW,AL,1998,861,931,80,0.339,0.444,0.271,0,,,163,,
CIN,NL,1998,750,760,77,0.337,0.402,0.262,0,,,162,,
CLE,AL,1998,850,779,89,0.347,0.448,0.272,1,7,3,162,,
COL,NL,1998,826,855,77,0.347,0.461,0.291,0,,,162,,
DET,AL,1998,722,863,65,0.323,0.415,0.264,0,,,162,,
FLA,NL,1998,667,923,54,0.317,0.373,0.248,0,,,162,,
HOU,NL,1998,874,620,102,0.356,0.436,0.28,1,3,4,162,,
KCR,AL,1998,714,899,72,0.324,0.399,0.263,0,,,161,,
LAD,NL,1998,669,678,83,0.31,0.387,0.252,0,,,162,,
MIL,NL,1998,707,812,74,0.33,0.396,0.26,0,,,162,,
MIN,AL,1998,734,818,70,0.328,0.389,0.266,0,,,162,,
MON,NL,1998,644,783,65,0.31,0.394,0.249,0,,,162,,
NYM,NL,1998,706,645,88,0.33,0.394,0.259,0,,,162,,
NYY,AL,1998,965,656,114,0.364,0.46,0.288,1,1,1,162,,
OAK,AL,1998,804,866,74,0.338,0.397,0.257,0,,,162,,
PHI,NL,1998,713,808,75,0.326,0.395,0.264,0,,,162,,
PIT,NL,1998,650,718,69,0.311,0.374,0.254,0,,,163,,
SDP,NL,1998,749,635,98,0.33,0.409,0.253,1,4,2,162,,
SEA,AL,1998,859,855,76,0.345,0.468,0.276,0,,,161,,
SFG,NL,1998,845,739,89,0.353,0.421,0.274,0,,,163,,
STL,NL,1998,810,782,83,0.341,0.441,0.258,0,,,163,,
TBD,AL,1998,620,751,63,0.321,0.385,0.261,0,,,162,,
TEX,AL,1998,940,871,88,0.357,0.462,0.289,1,8,4,162,,
TOR,AL,1998,816,768,88,0.34,0.448,0.266,0,,,163,,
ANA,AL,1997,829,794,84,0.346,0.416,0.272,0,,,162,,
ATL,NL,1997,791,581,101,0.343,0.426,0.27,1,1,3,162,,
BAL,AL,1997,812,681,98,0.341,0.429,0.268,1,2,3,162,,
BOS,AL,1997,851,857,78,0.352,0.463,0.291,0,,,162,,
CHC,NL,1997,687,759,68,0.321,0.396,0.263,0,,,162,,
CHW,AL,1997,779,833,80,0.341,0.417,0.273,0,,,161,,
CIN,NL,1997,651,764,76,0.321,0.389,0.253,0,,,162,,
CLE,AL,1997,868,815,86,0.358,0.467,0.286,1,6,2,161,,
COL,NL,1997,923,908,83,0.357,0.478,0.288,0,,,162,,
DET,AL,1997,784,790,79,0.332,0.415,0.258,0,,,162,,
FLA,NL,1997,740,669,92,0.346,0.395,0.259,1,4,1,162,,
HOU,NL,1997,777,660,84,0.344,0.403,0.259,1,7,4,162,,
KCR,AL,1997,747,820,67,0.333,0.407,0.264,0,,,161,,
LAD,NL,1997,742,645,88,0.33,0.418,0.268,0,,,162,,
MIL,AL,1997,681,742,78,0.325,0.398,0.26,0,,,161,,
MIN,AL,1997,772,861,68,0.333,0.409,0.27,0,,,162,,
MON,NL,1997,691,740,78,0.316,0.425,0.258,0,,,162,,
NYM,NL,1997,777,709,88,0.332,0.405,0.262,0,,,162,,
NYY,AL,1997,891,688,96,0.362,0.436,0.287,1,3,4,162,,
OAK,AL,1997,764,946,65,0.339,0.423,0.26,0,,,162,,
PHI,NL,1997,668,840,68,0.322,0.385,0.255,0,,,162,,
PIT,NL,1997,725,760,79,0.329,0.404,0.262,0,,,162,,
SDP,NL,1997,795,891,76,0.342,0.407,0.271,0,,,162,,
SEA,AL,1997,925,833,90,0.355,0.485,0.28,1,5,4,162,,
SFG,NL,1997,784,793,90,0.337,0.414,0.258,1,5,4,162,,
STL,NL,1997,689,708,73,0.324,0.396,0.255,0,,,162,,
TEX,AL,1997,807,823,77,0.334,0.438,0.274,0,,,162,,
TOR,AL,1997,654,694,76,0.31,0.389,0.244,0,,,162,,
ATL,NL,1996,773,648,96,0.333,0.432,0.27,1,2,2,162,,
BAL,AL,1996,949,903,88,0.35,0.472,0.274,1,6,3,163,,
BOS,AL,1996,928,921,85,0.359,0.457,0.283,0,,,162,,
CAL,AL,1996,762,943,70,0.339,0.431,0.276,0,,,161,,
CHC,NL,1996,772,771,76,0.32,0.401,0.251,0,,,162,,
CHW,AL,1996,898,794,85,0.36,0.447,0.281,0,,,162,,
CIN,NL,1996,778,773,81,0.331,0.422,0.256,0,,,162,,
CLE,AL,1996,952,769,99,0.369,0.475,0.293,1,1,4,161,,
COL,NL,1996,961,964,83,0.355,0.472,0.287,0,,,162,,
DET,AL,1996,783,1103,53,0.323,0.42,0.256,0,,,162,,
FLA,NL,1996,688,703,80,0.329,0.393,0.257,0,,,162,,
HOU,NL,1996,753,792,82,0.336,0.397,0.262,0,,,162,,
KCR,AL,1996,746,786,75,0.332,0.398,0.267,0,,,161,,
LAD,NL,1996,703,652,90,0.316,0.384,0.252,1,5,4,162,,
MIL,AL,1996,894,899,80,0.353,0.441,0.279,0,,,162,,
MIN,AL,1996,877,900,78,0.357,0.425,0.288,0,,,162,,
MON,NL,1996,741,668,88,0.327,0.406,0.262,0,,,162,,
NYM,NL,1996,746,779,71,0.324,0.412,0.27,0,,,162,,
NYY,AL,1996,871,787,92,0.36,0.436,0.288,1,3,1,162,,
OAK,AL,1996,861,900,78,0.344,0.452,0.265,0,,,162,,
PHI,NL,1996,650,790,67,0.325,0.387,0.256,0,,,162,,
PIT,NL,1996,776,833,73,0.329,0.407,0.266,0,,,162,,
SDP,NL,1996,771,682,91,0.338,0.402,0.265,1,4,4,162,,
SEA,AL,1996,993,895,85,0.366,0.484,0.287,0,,,161,,
SFG,NL,1996,752,862,68,0.331,0.388,0.253,0,,,162,,
STL,NL,1996,759,706,88,0.33,0.407,0.267,1,6,3,162,,
TEX,AL,1996,928,799,90,0.358,0.469,0.284,1,5,4,163,,
TOR,AL,1996,766,809,74,0.331,0.42,0.259,0,,,162,,
ATL,NL,1993,767,559,104,0.331,0.408,0.262,1,1,3,162,,
BAL,AL,1993,786,745,85,0.346,0.413,0.267,0,,,162,,
BOS,AL,1993,686,698,80,0.33,0.395,0.264,0,,,162,,
CAL,AL,1993,684,770,71,0.331,0.38,0.26,0,,,162,,
CHC,NL,1993,738,739,84,0.325,0.414,0.27,0,,,163,,
CHW,AL,1993,776,664,94,0.338,0.411,0.265,1,4,3,162,,
CIN,NL,1993,722,785,73,0.324,0.396,0.264,0,,,162,,
CLE,AL,1993,790,813,76,0.335,0.409,0.275,0,,,162,,
COL,NL,1993,758,967,67,0.323,0.422,0.273,0,,,162,,
DET,AL,1993,899,837,85,0.362,0.434,0.275,0,,,162,,
FLA,NL,1993,581,724,64,0.314,0.346,0.248,0,,,162,,
HOU,NL,1993,716,630,85,0.33,0.409,0.267,0,,,162,,
KCR,AL,1993,675,694,84,0.32,0.397,0.263,0,,,162,,
LAD,NL,1993,675,662,81,0.321,0.383,0.261,0,,,162,,
MIL,AL,1993,733,792,69,0.328,0.378,0.258,0,,,162,,
MIN,AL,1993,693,830,71,0.327,0.385,0.264,0,,,162,,
MON,NL,1993,732,682,94,0.326,0.386,0.257,0,,,163,,
NYM,NL,1993,672,744,59,0.305,0.39,0.248,0,,,162,,
NYY,AL,1993,821,761,88,0.353,0.435,0.279,0,,,162,,
OAK,AL,1993,715,846,68,0.33,0.394,0.254,0,,,162,,
PHI,NL,1993,877,740,97,0.351,0.426,0.274,1,2,2,162,,
PIT,NL,1993,707,806,75,0.335,0.393,0.267,0,,,162,,
SDP,NL,1993,679,772,61,0.312,0.389,0.252,0,,,162,,
SEA,AL,1993,734,731,82,0.339,0.406,0.26,0,,,162,,
SFG,NL,1993,808,636,103,0.34,0.427,0.276,0,,,162,,
STL,NL,1993,758,744,87,0.341,0.395,0.272,0,,,162,,
TEX,AL,1993,835,751,86,0.329,0.431,0.267,0,,,162,,
TOR,AL,1993,847,742,95,0.35,0.436,0.279,1,3,1,162,,
ATL,NL,1992,682,569,98,0.316,0.388,0.254,1,1,2,162,,
BAL,AL,1992,705,656,89,0.34,0.398,0.259,0,,,162,,
BOS,AL,1992,599,669,73,0.321,0.347,0.246,0,,,162,,
CAL,AL,1992,579,671,72,0.301,0.338,0.243,0,,,162,,
CHC,NL,1992,593,624,78,0.307,0.364,0.254,0,,,162,,
CHW,AL,1992,738,690,86,0.336,0.383,0.261,0,,,162,,
CIN,NL,1992,660,609,90,0.328,0.382,0.26,0,,,162,,
CLE,AL,1992,674,746,76,0.323,0.383,0.266,0,,,162,,
DET,AL,1992,791,794,75,0.337,0.407,0.256,0,,,162,,
HOU,NL,1992,608,668,81,0.313,0.359,0.246,0,,,162,,
KCR,AL,1992,610,667,72,0.315,0.364,0.256,0,,,162,,
LAD,NL,1992,548,636,63,0.313,0.339,0.248,0,,,162,,
MIL,AL,1992,740,604,92,0.33,0.375,0.268,0,,,162,,
MIN,AL,1992,747,653,90,0.341,0.391,0.277,0,,,162,,
MON,NL,1992,648,581,87,0.313,0.37,0.252,0,,,162,,
NYM,NL,1992,599,653,72,0.31,0.342,0.235,0,,,162,,
NYY,AL,1992,733,746,76,0.328,0.406,0.261,0,,,162,,
OAK,AL,1992,745,672,96,0.346,0.386,0.258,1,2,3,162,,
PHI,NL,1992,686,717,70,0.32,0.377,0.253,0,,,162,,
PIT,NL,1992,693,595,96,0.324,0.381,0.255,1,2,3,162,,
SDP,NL,1992,617,636,82,0.313,0.386,0.255,0,,,162,,
SEA,AL,1992,679,799,64,0.323,0.402,0.263,0,,,162,,
SFG,NL,1992,574,647,72,0.302,0.355,0.244,0,,,162,,
STL,NL,1992,631,604,83,0.323,0.375,0.262,0,,,162,,
TEX,AL,1992,682,753,77,0.321,0.393,0.25,0,,,162,,
TOR,AL,1992,780,682,96,0.333,0.414,0.263,1,2,1,162,,
ATL,NL,1991,749,644,94,0.328,0.393,0.258,1,3,2,162,,
BAL,AL,1991,686,796,67,0.319,0.401,0.254,0,,,162,,
BOS,AL,1991,731,712,84,0.34,0.401,0.269,0,,,162,,
CAL,AL,1991,653,649,81,0.314,0.374,0.255,0,,,162,,
CHC,NL,1991,695,734,77,0.309,0.39,0.253,0,,,160,,
CHW,AL,1991,758,681,87,0.336,0.391,0.262,0,,,162,,
CIN,NL,1991,689,691,74,0.32,0.403,0.258,0,,,162,,
CLE,AL,1991,576,759,57,0.313,0.35,0.254,0,,,162,,
DET,AL,1991,817,794,84,0.333,0.416,0.247,0,,,162,,
HOU,NL,1991,605,717,65,0.309,0.347,0.244,0,,,162,,
KCR,AL,1991,727,722,82,0.328,0.394,0.264,0,,,162,,
LAD,NL,1991,665,565,93,0.326,0.359,0.253,0,,,162,,
MIL,AL,1991,799,744,83,0.336,0.396,0.271,0,,,162,,
MIN,AL,1991,776,652,95,0.344,0.42,0.28,1,2,1,162,,
MON,NL,1991,579,655,71,0.308,0.357,0.246,0,,,161,,
NYM,NL,1991,640,646,77,0.317,0.365,0.244,0,,,161,,
NYY,AL,1991,674,777,71,0.316,0.387,0.256,0,,,162,,
OAK,AL,1991,760,776,84,0.331,0.389,0.248,0,,,162,,
PHI,NL,1991,629,680,78,0.303,0.358,0.241,0,,,162,,
PIT,NL,1991,768,632,98,0.338,0.398,0.263,1,1,3,162,,
SDP,NL,1991,636,646,84,0.31,0.362,0.244,0,,,162,,
SEA,AL,1991,702,674,83,0.328,0.383,0.255,0,,,162,,
SFG,NL,1991,649,697,75,0.309,0.381,0.246,0,,,162,,
STL,NL,1991,651,648,84,0.322,0.357,0.255,0,,,162,,
TEX,AL,1991,829,814,85,0.341,0.424,0.27,0,,,162,,
TOR,AL,1991,684,622,91,0.322,0.4,0.257,1,4,3,162,,
ATL,NL,1990,682,821,65,0.311,0.396,0.25,0,,,162,,
BAL,AL,1990,669,698,76,0.33,0.37,0.245,0,,,161,,
BOS,AL,1990,699,664,88,0.344,0.395,0.272,1,4,3,162,,
CAL,AL,1990,690,706,80,0.329,0.391,0.26,0,,,162,,
CHC,NL,1990,690,774,77,0.314,0.392,0.263,0,,,162,,
CHW,AL,1990,682,633,94,0.32,0.379,0.258,0,,,162,,
CIN,NL,1990,693,597,91,0.325,0.399,0.265,1,3,1,162,,
CLE,AL,1990,732,737,77,0.324,0.391,0.267,0,,,162,,
DET,AL,1990,750,754,79,0.337,0.409,0.259,0,,,162,,
HOU,NL,1990,573,656,75,0.313,0.345,0.242,0,,,162,,
KCR,AL,1990,707,709,75,0.328,0.395,0.267,0,,,161,,
LAD,NL,1990,728,685,86,0.328,0.382,0.262,0,,,162,,
MIL,AL,1990,732,760,74,0.32,0.384,0.256,0,,,162,,
MIN,AL,1990,666,729,74,0.324,0.385,0.265,0,,,162,,
MON,NL,1990,662,598,85,0.322,0.37,0.25,0,,,162,,
NYM,NL,1990,775,613,91,0.323,0.408,0.256,0,,,162,,
NYY,AL,1990,603,749,67,0.3,0.366,0.241,0,,,162,,
OAK,AL,1990,733,570,103,0.336,0.391,0.254,1,1,2,162,,
PHI,NL,1990,646,729,77,0.327,0.363,0.255,0,,,162,,
PIT,NL,1990,733,619,95,0.33,0.405,0.259,1,2,3,162,,
SDP,NL,1990,673,673,75,0.32,0.38,0.257,0,,,162,,
SEA,AL,1990,640,680,77,0.333,0.373,0.259,0,,,162,,
SFG,NL,1990,719,710,85,0.323,0.396,0.262,0,,,162,,
STL,NL,1990,599,698,70,0.32,0.358,0.256,0,,,162,,
TEX,AL,1990,676,696,83,0.331,0.376,0.259,0,,,162,,
TOR,AL,1990,767,661,86,0.328,0.419,0.265,0,,,162,,
ATL,NL,1989,584,680,63,0.298,0.35,0.234,0,,,161,,
BAL,AL,1989,708,686,87,0.326,0.379,0.252,0,,,162,,
BOS,AL,1989,774,735,83,0.351,0.403,0.277,0,,,162,,
CAL,AL,1989,669,578,91,0.311,0.386,0.256,0,,,162,,
CHC,NL,1989,702,623,93,0.319,0.387,0.261,1,2,3,162,,
CHW,AL,1989,693,750,69,0.328,0.383,0.271,0,,,161,,
CIN,NL,1989,632,691,75,0.309,0.37,0.247,0,,,162,,
CLE,AL,1989,604,654,73,0.31,0.365,0.245,0,,,162,,
DET,AL,1989,617,816,59,0.318,0.351,0.242,0,,,162,,
HOU,NL,1989,647,669,86,0.306,0.345,0.239,0,,,162,,
KCR,AL,1989,690,635,92,0.329,0.373,0.261,0,,,162,,
LAD,NL,1989,554,536,77,0.306,0.339,0.24,0,,,160,,
MIL,AL,1989,707,679,81,0.318,0.382,0.259,0,,,162,,
MIN,AL,1989,740,738,80,0.334,0.402,0.276,0,,,162,,
MON,NL,1989,632,630,81,0.319,0.361,0.247,0,,,162,,
NYM,NL,1989,683,595,87,0.311,0.385,0.246,0,,,162,,
NYY,AL,1989,698,792,74,0.331,0.391,0.269,0,,,161,,
OAK,AL,1989,712,576,99,0.331,0.381,0.261,1,1,1,162,,
PHI,NL,1989,629,735,67,0.314,0.364,0.243,0,,,163,,
PIT,NL,1989,637,680,74,0.311,0.359,0.241,0,,,164,,
SDP,NL,1989,642,626,89,0.319,0.369,0.251,0,,,162,,
SEA,AL,1989,694,728,73,0.32,0.384,0.257,0,,,162,,
SFG,NL,1989,699,600,92,0.316,0.39,0.25,1,3,2,162,,
STL,NL,1989,632,608,86,0.321,0.363,0.258,0,,,164,,
TEX,AL,1989,695,714,83,0.326,0.394,0.263,0,,,162,,
TOR,AL,1989,731,651,89,0.323,0.398,0.26,1,4,3,162,,
ATL,NL,1988,555,741,54,0.298,0.348,0.242,0,,,160,,
BAL,AL,1988,550,789,54,0.305,0.359,0.238,0,,,161,,
BOS,AL,1988,813,689,89,0.357,0.42,0.283,1,4,3,162,,
CAL,AL,1988,714,771,75,0.321,0.385,0.261,0,,,162,,
CHC,NL,1988,660,694,77,0.31,0.383,0.261,0,,,163,,
CHW,AL,1988,631,757,71,0.303,0.37,0.244,0,,,161,,
CIN,NL,1988,641,596,87,0.309,0.368,0.246,0,,,161,,
CLE,AL,1988,666,731,78,0.314,0.387,0.261,0,,,162,,
DET,AL,1988,703,658,88,0.324,0.378,0.25,0,,,162,,
HOU,NL,1988,617,631,82,0.306,0.351,0.244,0,,,162,,
KCR,AL,1988,704,648,84,0.321,0.391,0.259,0,,,161,,
LAD,NL,1988,628,544,94,0.305,0.352,0.248,1,3,1,162,,
MIL,AL,1988,682,616,87,0.314,0.375,0.257,0,,,162,,
MIN,AL,1988,759,672,91,0.34,0.421,0.274,0,,,162,,
MON,NL,1988,628,592,81,0.309,0.373,0.251,0,,,163,,
NYM,NL,1988,703,532,100,0.325,0.396,0.256,1,2,3,160,,
NYY,AL,1988,772,748,85,0.333,0.395,0.263,0,,,161,,
OAK,AL,1988,800,620,104,0.336,0.399,0.263,1,1,2,162,,
PHI,NL,1988,597,734,65,0.306,0.355,0.239,0,,,162,,
PIT,NL,1988,651,616,85,0.317,0.369,0.247,0,,,160,,
SDP,NL,1988,594,583,83,0.31,0.351,0.247,0,,,161,,
SEA,AL,1988,664,744,68,0.317,0.398,0.257,0,,,161,,
SFG,NL,1988,670,626,83,0.318,0.368,0.248,0,,,162,,
STL,NL,1988,578,633,76,0.309,0.337,0.249,0,,,162,,
TEX,AL,1988,637,735,70,0.32,0.368,0.252,0,,,161,,
TOR,AL,1988,763,680,87,0.332,0.419,0.268,0,,,162,,
ATL,NL,1987,747,829,69,0.339,0.403,0.258,0,,,161,,
BAL,AL,1987,729,880,67,0.322,0.418,0.258,0,,,162,,
BOS,AL,1987,842,825,78,0.352,0.43,0.278,0,,,162,,
CAL,AL,1987,770,803,75,0.326,0.401,0.252,0,,,162,,
CHC,NL,1987,720,801,76,0.326,0.432,0.264,0,,,161,,
CHW,AL,1987,748,746,77,0.319,0.415,0.258,0,,,162,,
CIN,NL,1987,783,752,84,0.33,0.427,0.266,0,,,162,,
CLE,AL,1987,742,957,61,0.324,0.422,0.263,0,,,162,,
DET,AL,1987,896,735,98,0.349,0.451,0.272,1,1,3,162,,
HOU,NL,1987,648,678,76,0.318,0.373,0.253,0,,,162,,
KCR,AL,1987,715,691,83,0.328,0.412,0.262,0,,,162,,
LAD,NL,1987,635,675,73,0.309,0.371,0.252,0,,,162,,
MIL,AL,1987,862,817,91,0.346,0.428,0.276,0,,,162,,
MIN,AL,1987,786,806,85,0.328,0.43,0.261,1,4,1,162,,
MON,NL,1987,741,720,91,0.328,0.401,0.265,0,,,162,,
NYM,NL,1987,823,698,92,0.339,0.434,0.268,0,,,162,,
NYY,AL,1987,788,758,89,0.336,0.418,0.262,0,,,162,,
OAK,AL,1987,806,789,81,0.333,0.428,0.26,0,,,162,,
PHI,NL,1987,702,749,80,0.327,0.41,0.254,0,,,162,,
PIT,NL,1987,723,744,80,0.33,0.403,0.264,0,,,162,,
SDP,NL,1987,668,763,65,0.332,0.378,0.26,0,,,162,,
SEA,AL,1987,760,801,78,0.335,0.428,0.272,0,,,162,,
SFG,NL,1987,783,669,90,0.324,0.43,0.26,1,3,3,162,,
STL,NL,1987,798,693,95,0.34,0.378,0.263,1,2,2,162,,
TEX,AL,1987,823,849,75,0.333,0.43,0.266,0,,,162,,
TOR,AL,1987,845,655,96,0.336,0.446,0.269,0,,,162,,
ATL,NL,1986,615,719,72,0.319,0.381,0.25,0,,,161,,
BAL,AL,1986,708,760,73,0.327,0.395,0.258,0,,,162,,
BOS,AL,1986,794,696,95,0.346,0.415,0.271,1,3,2,161,,
CAL,AL,1986,786,684,92,0.338,0.404,0.255,1,4,3,162,,
CHC,NL,1986,680,781,70,0.318,0.398,0.256,0,,,160,,
